artist_ids,artists,count,href,genre,image,popularity
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,5,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,95
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,5,https://open.spotify.com/artist/1h6Cn3P4NGzXbaXidqURXs,"['edm', 'pop dance', 'progressive electro house']",https://i.scdn.co/image/ab6761610000e5eb3acc752dbb488a55fffa9af8,74
2nPIXmAYsFJ4DwYydnATFI,Matt Walden,5,https://open.spotify.com/artist/2nPIXmAYsFJ4DwYydnATFI,['teen pop'],https://i.scdn.co/image/ab6761610000e5eb22e07f7fd450013228bb7db7,31
2wY79sveU1sp5g7SokKOiI,Sam Smith,5,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,"['pop', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eba8eef8322e55fc49ab436eea,83
6jJ0s89eD6GaHleKKya26X,Katy Perry,5,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,['pop'],https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6,84
6q29t5RuXxlBuqIZsOMQss,Priya Saraiya,5,https://open.spotify.com/artist/6q29t5RuXxlBuqIZsOMQss,"['gujarati pop', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb627ac4b3c03ff25fc67bf7dd,60
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,4,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop']",https://i.scdn.co/image/ab6761610000e5ebec05963eab63676a539fef13,79
246dkjvS1zLTtiykXe5h60,Post Malone,4,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'pop', 'rap']",https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1,87
281Vp9LDrWkHMHQzfQHWCt,Rashid Ali,4,https://open.spotify.com/artist/281Vp9LDrWkHMHQzfQHWCt,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb60c9482ef58ab720ec8c1456,56
45dkTj5sMRSjrmBSBeiHym,Tate McRae,4,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym,"['alt z', 'pop']",https://i.scdn.co/image/ab6761610000e5eb846308bf9bf7d3183958b3a6,86
26VFTg2z8YR0cCuwLzESi2,Halsey,4,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']",https://i.scdn.co/image/ab6761610000e5ebd707e1c5177614c4ec95a06c,80
