track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin, ",Without Warning,0.88,0.428,0.206,0.149,5.05e-05,0.114,0.333,100.007,9.0,1.0,hodgepodge.
6WhzFzROw3aq3rPWjgYlxr,Gold,"Kiiara, ",Gold,0.6,0.412,0.344,0.615,0.0025,0.134,0.408,113.049,8.0,1.0,hodgepodge.
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,"The Neighbourhood, ",I Love You.,0.612,0.807,0.0336,0.0495,0.0177,0.101,0.398,124.053,10.0,1.0,hodgepodge.
4OQfIweaFWNTT5NkJ04txq,Titanium,"David Guetta, Sia, ",Now That's What I Call Music 2012-13,0.585,0.747,0.106,0.0703,0.317,0.13,0.247,126.071,0.0,0.0,hodgepodge.
0WqqFajBwA3tpRZ66kRomu,Sleepover,"Hayley Kiyoko, ",Expectations,0.537,0.81,0.0698,0.142,1.4e-05,0.12,0.547,152.996,1.0,1.0,hodgepodge.
4EpZ4eYuZOwPSSwyqpdHnJ,Sunflower,"Rex Orange County, ",Sunflower,0.384,0.765,0.0579,0.646,0.00352,0.522,0.567,129.903,6.0,1.0,hodgepodge.
3aLWuWKHaTV4Ok7LKvXRYn,Let Me Hold You (Turn Me On),"Cheat Codes, Dante Klein, ",Let Me Hold You (Turn Me On),0.681,0.774,0.0787,0.0992,0.0,0.35,0.267,102.924,1.0,0.0,hodgepodge.
3BYyBzKGPOCHeginhe0F77,Never Be Alone,"Shawn Mendes, ",Handwritten,0.376,0.466,0.0353,0.514,5.8e-05,0.0781,0.276,199.835,10.0,1.0,hodgepodge.
3u5bTqHMM1P34ZkbwzdckV,The Story Never Ends,"Lauv, ",I met you when I was 18. (the playlist),0.614,0.126,0.0376,0.911,0.0,0.148,0.351,119.945,9.0,1.0,hodgepodge.
2s5HFb7W5zXq6i7HXHxvcB,Grind Me Down,"Lilianna Wilde, ",Bad for You,0.607,0.419,0.136,0.706,2.13e-05,0.157,0.421,166.009,2.0,0.0,hodgepodge.
4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,"Selena Gomez, ",Back To You (From 13 Reasons Why – Season 2 Soundtrack),0.601,0.724,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,6.0,1.0,hodgepodge.
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,"Alec Benjamin, ",Narrated For You,0.652,0.557,0.0318,0.74,0.0,0.124,0.483,150.073,1.0,0.0,hodgepodge.
5hwh37sTi84MVhCBMWzhGE,Superficial Love,"Ruth B., ",The Intro,0.477,0.242,0.0529,0.928,0.0,0.0818,0.488,43.509,8.0,1.0,hodgepodge.
5CRVwXGikmqzoRO6q7FeAg,If I Could Fly,"One Direction, ",Made In The A.M. (Deluxe Edition),0.565,0.245,0.0262,0.781,0.0,0.0998,0.307,75.055,5.0,1.0,hodgepodge.
75ls0gurX68lUmMjE7QcsE,all the kids are depressed,"Jeremy Zucker, ",glisten,0.773,0.437,0.0963,0.836,2.42e-05,0.544,0.707,103.861,9.0,1.0,hodgepodge.
